A^B^C^D^E^F^G^H^I^J^K^L
271^0^1^Cairns, Mr. Alexander^male^^0^0^S^113798^31.0^
57^1^2^Rugg, Miss. Emily^female^21.0^0^0^S^C.A. 31026^10.5^
230^0^3^Lefebre, Miss. Mathilde^female^^3^1^S^4133^25.4667^
759^0^3^Theobald, Mr. Thomas Leonard^male^34.0^0^0^S^363294^8.05^
769^0^3^Moran, Mr. Daniel J^male^^1^0^Q^371110^24.15^
662^0^3^Badt, Mr. Mohamed^male^40.0^0^0^C^2623^7.225^
743^1^1^"Ryerson, Miss. Susan Parker ""Suzette"""^female^21.0^2^2^C^PC 17608^262.375^B57 B59 B63 B66
761^0^3^Garfirth, Mr. John^male^^0^0^S^358585^14.5^
859^1^3^Baclini, Mrs. Solomon (Latifa Qurban)^female^24.0^0^3^C^2666^19.2583^
409^0^3^Birkeland, Mr. Hans Martin Monsen^male^21.0^0^0^S^312992^7.775^
793^0^3^Sage, Miss. Stella Anna^female^^8^2^S^CA. 2343^69.55^
329^1^3^Goldsmith, Mrs. Frank John (Emily Alice Brown)^female^31.0^1^1^S^363291^20.525^
730^0^3^Ilmakangas, Miss. Pieta Sofia^female^25.0^1^0^S^STON/O2. 3101271^7.925^
790^0^1^Guggenheim, Mr. Benjamin^male^46.0^0^0^C^PC 17593^79.2^B82 B84
794^0^1^Hoyt, Mr. William Fisher^male^^0^0^C^PC 17600^30.6958^
737^0^3^Ford, Mrs. Edward (Margaret Ann Watson)^female^48.0^1^3^S^W./C. 6608^34.375^
270^1^1^Bissette, Miss. Amelia^female^35.0^0^0^S^PC 17760^135.6333^C99
549^0^3^Goldsmith, Mr. Frank John^male^33.0^1^1^S^363291^20.525^
214^0^2^Givard, Mr. Hans Kristensen^male^30.0^0^0^S^250646^13.0^
428^1^2^"Phillips, Miss. Kate Florence (""Mrs Kate Louise Phillips Marshall"")"^female^19.0^0^0^S^250655^26.0^
474^1^2^Jerwan, Mrs. Amin S (Marie Marthe Thuillard)^female^23.0^0^0^C^SC/AH Basle 541^13.7917^D
531^1^2^Quick, Miss. Phyllis May^female^2.0^1^1^S^26360^26.0^
167^1^1^Chibnall, Mrs. (Edith Martha Bowerman)^female^^0^1^S^113505^55.0^E33
2^1^1^Cumings, Mrs. John Bradley (Florence Briggs Thayer)^female^38.0^1^0^C^PC 17599^71.2833^C85
645^1^3^Baclini, Miss. Eugenie^female^0.75^2^1^C^2666^19.2583^
379^0^3^Betros, Mr. Tannous^male^20.0^0^0^C^2648^4.0125^
176^0^3^Klasen, Mr. Klas Albin^male^18.0^1^1^S^350404^7.8542^
389^0^3^Sadlier, Mr. Matthew^male^^0^0^Q^367655^7.7292^
119^0^1^Baxter, Mr. Quigg Edmond^male^24.0^0^1^C^PC 17558^247.5208^B58 B60
132^0^3^Coelho, Mr. Domingos Fernandeo^male^20.0^0^0^S^SOTON/O.Q. 3101307^7.05^
579^0^3^Caram, Mrs. Joseph (Maria Elias)^female^^1^0^C^2689^14.4583^
791^0^3^"Keane, Mr. Andrew ""Andy"""^male^^0^0^Q^12460^7.75^
851^0^3^Andersson, Master. Sigvard Harald Elias^male^4.0^4^2^S^347082^31.275^
708^1^1^Calderhead, Mr. Edward Pennington^male^42.0^0^0^S^PC 17476^26.2875^E24
301^1^3^"Kelly, Miss. Anna Katherine ""Annie Kate"""^female^^0^0^Q^9234^7.75^
366^0^3^Adahl, Mr. Mauritz Nils Martin^male^30.0^0^0^S^C 7076^7.25^
89^1^1^Fortune, Miss. Mabel Helen^female^23.0^3^2^S^19950^263.0^C23 C25 C27
219^1^1^Bazzani, Miss. Albina^female^32.0^0^0^C^11813^76.2917^D15
490^1^3^"Coutts, Master. Eden Leslie ""Neville"""^male^9.0^1^1^S^C.A. 37671^15.9^
397^0^3^Olsson, Miss. Elina^female^31.0^0^0^S^350407^7.8542^
417^1^2^Drew, Mrs. James Vivian (Lulu Thorne Christian)^female^34.0^1^1^S^28220^32.5^
607^0^3^Karaic, Mr. Milan^male^30.0^0^0^S^349246^7.8958^
558^0^1^Robbins, Mr. Victor^male^^0^0^C^PC 17757^227.525^
747^0^3^Abbott, Mr. Rossmore Edward^male^16.0^1^1^S^C.A. 2673^20.25^
27^0^3^Emir, Mr. Farred Chehab^male^^0^0^C^2631^7.225^
873^0^1^Carlsson, Mr. Frans Olof^male^33.0^0^0^S^695^5.0^B51 B53 B55
724^0^2^Hodges, Mr. Henry Price^male^50.0^0^0^S^250643^13.0^
614^0^3^Horgan, Mr. John^male^^0^0^Q^370377^7.75^
37^1^3^Mamee, Mr. Hanna^male^^0^0^C^2677^7.2292^
576^0^3^Patchett, Mr. George^male^19.0^0^0^S^358585^14.5^
107^1^3^Salkjelsvik, Miss. Anna Kristine^female^21.0^0^0^S^343120^7.65^
98^1^1^Greenfield, Mr. William Bertram^male^23.0^0^1^C^PC 17759^63.3583^D10 D12
877^0^3^Gustafsson, Mr. Alfred Ossian^male^20.0^0^0^S^7534^9.8458^
93^0^1^Chaffee, Mr. Herbert Fuller^male^46.0^1^0^S^W.E.P. 5734^61.175^E31
213^0^3^Perkin, Mr. John Henry^male^22.0^0^0^S^A/5 21174^7.25^
87^0^3^Ford, Mr. William Neal^male^16.0^1^3^S^W./C. 6608^34.375^
73^0^2^Hood, Mr. Ambrose Jr^male^21.0^0^0^S^S.O.C. 14879^73.5^
211^0^3^Ali, Mr. Ahmed^male^24.0^0^0^S^SOTON/O.Q. 3101311^7.05^
528^0^1^Farthing, Mr. John^male^^0^0^S^PC 17483^221.7792^C95
849^0^2^Harper, Rev. John^male^28.0^0^1^S^248727^33.0^
701^1^1^Astor, Mrs. John Jacob (Madeleine Talmadge Force)^female^18.0^1^0^C^PC 17757^227.525^C62 C64
493^0^1^Molson, Mr. Harry Markland^male^55.0^0^0^S^113787^30.5^C30
886^0^3^Rice, Mrs. William (Margaret Norton)^female^39.0^0^5^Q^382652^29.125^
442^0^3^Hampe, Mr. Leon^male^20.0^0^0^S^345769^9.5^
365^0^3^O'Brien, Mr. Thomas^male^^1^0^Q^370365^15.5^
317^1^2^Kantor, Mrs. Sinai (Miriam Sternin)^female^24.0^1^0^S^244367^26.0^
262^1^3^Asplund, Master. Edvin Rojj Felix^male^3.0^4^2^S^347077^31.3875^
296^0^1^Lewy, Mr. Ervin G^male^^0^0^C^PC 17612^27.7208^
626^0^1^Sutton, Mr. Frederick^male^61.0^0^0^S^36963^32.3208^D50
193^1^3^Andersen-Jensen, Miss. Carla Christine Nielsine^female^19.0^1^0^S^350046^7.8542^
806^0^3^Johansson, Mr. Karl Johan^male^31.0^0^0^S^347063^7.775^
469^0^3^Scanlan, Mr. James^male^^0^0^Q^36209^7.725^
58^0^3^Novel, Mr. Mansouer^male^28.5^0^0^C^2697^7.2292^
160^0^3^Sage, Master. Thomas Henry^male^^8^2^S^CA. 2343^69.55^
414^0^2^Cunningham, Mr. Alfred Fleming^male^^0^0^S^239853^0.0^
311^1^1^Hays, Miss. Margaret Bechstein^female^24.0^0^0^C^11767^83.1583^C54
699^0^1^Thayer, Mr. John Borland^male^49.0^1^1^C^17421^110.8833^C68
609^1^2^Laroche, Mrs. Joseph (Juliette Marie Louise Lafargue)^female^22.0^1^2^C^SC/Paris 2123^41.5792^
782^1^1^Dick, Mrs. Albert Adrian (Vera Gillespie)^female^17.0^1^0^S^17474^57.0^B20
814^0^3^Andersson, Miss. Ebba Iris Alfrida^female^6.0^4^2^S^347082^31.275^
343^0^2^Collander, Mr. Erik Gustaf^male^28.0^0^0^S^248740^13.0^
161^0^3^Cribb, Mr. John Hatfield^male^44.0^0^1^S^371362^16.1^
462^0^3^Morley, Mr. William^male^34.0^0^0^S^364506^8.05^
767^0^1^Brewe, Dr. Arthur Jackson^male^^0^0^C^112379^39.6^
275^1^3^"Healy, Miss. Hanora ""Nora"""^female^^0^0^Q^370375^7.75^
879^0^3^Laleff, Mr. Kristo^male^^0^0^S^349217^7.8958^
712^0^1^Klaber, Mr. Herman^male^^0^0^S^113028^26.55^C124
383^0^3^Tikkanen, Mr. Juho^male^32.0^0^0^S^STON/O 2. 3101293^7.925^
18^1^2^Williams, Mr. Charles Eugene^male^^0^0^S^244373^13.0^
229^0^2^Fahlstrom, Mr. Arne Jonas^male^18.0^0^0^S^236171^13.0^
466^0^3^Goncalves, Mr. Manuel Estanslas^male^38.0^0^0^S^SOTON/O.Q. 3101306^7.05^
399^0^2^Pain, Dr. Alfred^male^23.0^0^0^S^244278^10.5^
122^0^3^Moore, Mr. Leonard Charles^male^^0^0^S^A4. 54510^8.05^
32^1^1^Spencer, Mrs. William Augustus (Marie Eugenie)^female^^1^0^C^PC 17569^146.5208^B78
553^0^3^O'Brien, Mr. Timothy^male^^0^0^Q^330979^7.8292^
198^0^3^Olsen, Mr. Karl Siegwart Andreas^male^42.0^0^1^S^4579^8.4042^
732^0^3^Hassan, Mr. Houssein G N^male^11.0^0^0^C^2699^18.7875^
297^0^3^Hanna, Mr. Mansour^male^23.5^0^0^C^2693^7.2292^
205^1^3^"Cohen, Mr. Gurshon ""Gus"""^male^18.0^0^0^S^A/5 3540^8.05^
449^1^3^Baclini, Miss. Marie Catherine^female^5.0^2^1^C^2666^19.2583^
267^0^3^Panula, Mr. Ernesti Arvid^male^16.0^4^1^S^3101295^39.6875^
85^1^2^Ilett, Miss. Bertha^female^17.0^0^0^S^SO/C 14885^10.5^
163^0^3^Bengtsson, Mr. John Viktor^male^26.0^0^0^S^347068^7.775^
187^1^3^"O'Brien, Mrs. Thomas (Johanna ""Hannah"" Godfrey)"^female^^1^0^Q^370365^15.5^
599^0^3^Boulos, Mr. Hanna^male^^0^0^C^2664^7.225^
698^1^3^"Mullens, Miss. Katherine ""Katie"""^female^^0^0^Q^35852^7.7333^
526^0^3^Farrell, Mr. James^male^40.5^0^0^Q^367232^7.75^
145^0^2^Andrew, Mr. Edgardo Samuel^male^18.0^0^0^S^231945^11.5^
472^0^3^Cacic, Mr. Luka^male^38.0^0^0^S^315089^8.6625^
360^1^3^"Mockler, Miss. Helen Mary ""Ellie"""^female^^0^0^Q^330980^7.8792^
598^0^3^Johnson, Mr. Alfred^male^49.0^0^0^S^LINE^0.0^
746^0^1^Crosby, Capt. Edward Gifford^male^70.0^1^1^S^WE/P 5735^71.0^B22
288^0^3^Naidenoff, Mr. Penko^male^22.0^0^0^S^349206^7.8958^
660^0^1^Newell, Mr. Arthur Webster^male^58.0^0^2^C^35273^113.275^D48
79^1^2^Caldwell, Master. Alden Gates^male^0.83^0^2^S^248738^29.0^
554^1^3^"Leeni, Mr. Fahim (""Philip Zenni"")"^male^22.0^0^0^C^2620^7.225^
99^1^2^Doling, Mrs. John T (Ada Julia Bone)^female^34.0^0^1^S^231919^23.0^
866^1^2^Bystrom, Mrs. (Karolina)^female^42.0^0^0^S^236852^13.0^
637^0^3^Leinonen, Mr. Antti Gustaf^male^32.0^0^0^S^STON/O 2. 3101292^7.925^
586^1^1^Taussig, Miss. Ruth^female^18.0^0^2^S^110413^79.65^E68
349^1^3^"Coutts, Master. William Loch ""William"""^male^3.0^1^1^S^C.A. 37671^15.9^
592^1^1^Stephenson, Mrs. Walter Bertram (Martha Eustis)^female^52.0^1^0^C^36947^78.2667^D20
29^1^3^"O'Dwyer, Miss. Ellen ""Nellie"""^female^^0^0^Q^330959^7.8792^
468^0^1^Smart, Mr. John Montgomery^male^56.0^0^0^S^113792^26.55^
20^1^3^Masselmani, Mrs. Fatima^female^^0^0^C^2649^7.225^
705^0^3^Hansen, Mr. Henrik Juul^male^26.0^1^0^S^350025^7.8542^
874^0^3^Vander Cruyssen, Mr. Victor^male^47.0^0^0^S^345765^9.0^
619^1^2^Becker, Miss. Marion Louise^female^4.0^2^1^S^230136^39.0^F4
342^1^1^Fortune, Miss. Alice Elizabeth^female^24.0^3^2^S^19950^263.0^C23 C25 C27
471^0^3^Keefe, Mr. Arthur^male^^0^0^S^323592^7.25^
860^0^3^Razi, Mr. Raihed^male^^0^0^C^2629^7.2292^
149^0^2^"Navratil, Mr. Michel (""Louis M Hoffman"")"^male^36.5^0^2^S^230080^26.0^F2
295^0^3^Mineff, Mr. Ivan^male^24.0^0^0^S^349233^7.8958^
178^0^1^Isham, Miss. Ann Elizabeth^female^50.0^0^0^C^PC 17595^28.7125^C49
546^0^1^Nicholson, Mr. Arthur Ernest^male^64.0^0^0^S^693^26.0^
783^0^1^Long, Mr. Milton Clyde^male^29.0^0^0^S^113501^30.0^D6
880^1^1^Potter, Mrs. Thomas Jr (Lily Alexenia Wilson)^female^56.0^0^1^C^11767^83.1583^C50
338^1^1^Burns, Miss. Elizabeth Margaret^female^41.0^0^0^C^16966^134.5^E40
831^1^3^Yasbeck, Mrs. Antoni (Selini Alexander)^female^15.0^1^0^C^2659^14.4542^
844^0^3^Lemberopolous, Mr. Peter L^male^34.5^0^0^C^2683^6.4375^
883^0^3^Dahlberg, Miss. Gerda Ulrika^female^22.0^0^0^S^7552^10.5167^
356^0^3^Vanden Steen, Mr. Leo Peter^male^28.0^0^0^S^345783^9.5^
513^1^1^McGough, Mr. James Robert^male^36.0^0^0^S^PC 17473^26.2875^E25
470^1^3^Baclini, Miss. Helene Barbara^female^0.75^2^1^C^2666^19.2583^
676^0^3^Edvardsson, Mr. Gustaf Hjalmar^male^18.0^0^0^S^349912^7.775^
772^0^3^Jensen, Mr. Niels Peder^male^48.0^0^0^S^350047^7.8542^
10^1^2^Nasser, Mrs. Nicholas (Adele Achem)^female^14.0^1^0^C^237736^30.0708^
573^1^1^"Flynn, Mr. John Irwin (""Irving"")"^male^36.0^0^0^S^PC 17474^26.3875^E25
559^1^1^Taussig, Mrs. Emil (Tillie Mandelbaum)^female^39.0^1^1^S^110413^79.65^E67
881^1^2^Shelley, Mrs. William (Imanita Parrish Hall)^female^25.0^0^1^S^230433^26.0^
810^1^1^Chambers, Mrs. Norman Campbell (Bertha Griggs)^female^33.0^1^0^S^113806^53.1^E8
629^0^3^Bostandyeff, Mr. Guentcho^male^26.0^0^0^S^349224^7.8958^
504^0^3^Laitinen, Miss. Kristina Sofia^female^37.0^0^0^S^4135^9.5875^
770^0^3^Gronnestad, Mr. Daniel Danielsen^male^32.0^0^0^S^8471^8.3625^
581^1^2^Christy, Miss. Julie Rachel^female^25.0^1^1^S^237789^30.0^
808^0^3^Pettersson, Miss. Ellen Natalia^female^18.0^0^0^S^347087^7.775^
671^1^2^Brown, Mrs. Thomas William Solomon (Elizabeth Catherine Ford)^female^40.0^1^1^S^29750^39.0^
183^0^3^Asplund, Master. Clarence Gustaf Hugo^male^9.0^4^2^S^347077^31.3875^
612^0^3^Jardin, Mr. Jose Neto^male^^0^0^S^SOTON/O.Q. 3101305^7.05^
486^0^3^Lefebre, Miss. Jeannie^female^^3^1^S^4133^25.4667^
441^1^2^Hart, Mrs. Benjamin (Esther Ada Bloomfield)^female^45.0^1^1^S^F.C.C. 13529^26.25^
755^1^2^Herman, Mrs. Samuel (Jane Laver)^female^48.0^1^2^S^220845^65.0^
217^1^3^Honkanen, Miss. Eliina^female^27.0^0^0^S^STON/O2. 3101283^7.925^
72^0^3^Goodwin, Miss. Lillian Amy^female^16.0^5^2^S^CA 2144^46.9^
567^0^3^Stoytcheff, Mr. Ilia^male^19.0^0^0^S^349205^7.8958^
634^0^1^Parr, Mr. William Henry Marsh^male^^0^0^S^112052^0.0^
201^0^3^Vande Walle, Mr. Nestor Cyriel^male^28.0^0^0^S^345770^9.5^
640^0^3^Thorneycroft, Mr. Percival^male^^1^0^S^376564^16.1^
310^1^1^Francatelli, Miss. Laura Mabel^female^30.0^0^0^C^PC 17485^56.9292^E36
517^1^2^Lemore, Mrs. (Amelia Milley)^female^34.0^0^0^S^C.A. 34260^10.5^F33
739^0^3^Ivanoff, Mr. Kanio^male^^0^0^S^349201^7.8958^
691^1^1^Dick, Mr. Albert Adrian^male^31.0^1^0^S^17474^57.0^B20
452^0^3^Hagland, Mr. Ingvald Olai Olsen^male^^1^0^S^65303^19.9667^
776^0^3^Myhrman, Mr. Pehr Fabian Oliver Malkolm^male^18.0^0^0^S^347078^7.75^
156^0^1^Williams, Mr. Charles Duane^male^51.0^0^1^C^PC 17597^61.3792^
314^0^3^Hendekovic, Mr. Ignjac^male^28.0^0^0^S^349243^7.8958^
293^0^2^Levy, Mr. Rene Jacques^male^36.0^0^0^C^SC/Paris 2163^12.875^D
889^0^3^"Johnston, Miss. Catherine Helen ""Carrie"""^female^^1^2^S^W./C. 6607^23.45^
741^1^1^Hawksford, Mr. Walter James^male^^0^0^S^16988^30.0^D45
312^1^1^Ryerson, Miss. Emily Borie^female^18.0^2^2^C^PC 17608^262.375^B57 B59 B63 B66
92^0^3^Andreasson, Mr. Paul Edvin^male^20.0^0^0^S^347466^7.8542^
757^0^3^Carlsson, Mr. August Sigfrid^male^28.0^0^0^S^350042^7.7958^
158^0^3^Corn, Mr. Harry^male^30.0^0^0^S^SOTON/OQ 392090^8.05^
891^0^3^Dooley, Mr. Patrick^male^32.0^0^0^Q^370376^7.75^
405^0^3^Oreskovic, Miss. Marija^female^20.0^0^0^S^315096^8.6625^
384^1^1^Holverson, Mrs. Alexander Oskar (Mary Aline Towner)^female^35.0^1^0^S^113789^52.0^
16^1^2^Hewlett, Mrs. (Mary D Kingcome) ^female^55.0^0^0^S^248706^16.0^
742^0^1^Cavendish, Mr. Tyrell William^male^36.0^1^0^S^19877^78.85^C46
726^0^3^Oreskovic, Mr. Luka^male^20.0^0^0^S^315094^8.6625^
799^0^3^Ibrahim Shawah, Mr. Yousseff^male^30.0^0^0^C^2685^7.2292^
212^1^2^Cameron, Miss. Clear Annie^female^35.0^0^0^S^F.C.C. 13528^21.0^
680^1^1^Cardeza, Mr. Thomas Drake Martinez^male^36.0^0^1^C^PC 17755^512.3292^B51 B53 B55
666^0^2^Hickman, Mr. Lewis^male^32.0^2^0^S^S.O.C. 14879^73.5^
542^0^3^Andersson, Miss. Ingeborg Constanzia^female^9.0^4^2^S^347082^31.275^
185^1^3^Kink-Heilmann, Miss. Luise Gretchen^female^4.0^0^2^S^315153^22.025^
350^0^3^Dimic, Mr. Jovan^male^42.0^0^0^S^315088^8.6625^
704^0^3^Gallagher, Mr. Martin^male^25.0^0^0^Q^36864^7.7417^
689^0^3^Fischer, Mr. Eberhard Thelander^male^18.0^0^0^S^350036^7.7958^
226^0^3^Berglund, Mr. Karl Ivar Sven^male^22.0^0^0^S^PP 4348^9.35^
798^1^3^Osman, Mrs. Mara^female^31.0^0^0^S^349244^8.6833^
811^0^3^Alexander, Mr. William^male^26.0^0^0^S^3474^7.8875^
540^1^1^Frolicher, Miss. Hedwig Margaritha^female^22.0^0^2^C^13568^49.5^B39
386^0^2^Davies, Mr. Charles Henry^male^18.0^0^0^S^S.O.C. 14879^73.5^
239^0^2^Pengelly, Mr. Frederick William^male^19.0^0^0^S^28665^10.5^
532^0^3^Toufik, Mr. Nakli^male^^0^0^C^2641^7.2292^
478^0^3^Braund, Mr. Lewis Richard^male^29.0^1^0^S^3460^7.0458^
882^0^3^Markun, Mr. Johann^male^33.0^0^0^S^349257^7.8958^
748^1^2^Sinkkonen, Miss. Anna^female^30.0^0^0^S^250648^13.0^
12^1^1^Bonnell, Miss. Elizabeth^female^58.0^0^0^S^113783^26.55^C103
682^1^1^Hassab, Mr. Hammad^male^27.0^0^0^C^PC 17572^76.7292^D49
555^1^3^Ohman, Miss. Velin^female^22.0^0^0^S^347085^7.775^
352^0^1^Williams-Lambert, Mr. Fletcher Fellows^male^^0^0^S^113510^35.0^C128
102^0^3^"Petroff, Mr. Pastcho (""Pentcho"")"^male^^0^0^S^349215^7.8958^
485^1^1^Bishop, Mr. Dickinson H^male^25.0^1^0^C^11967^91.0792^B49
867^1^2^Duran y More, Miss. Asuncion^female^27.0^1^0^C^SC/PARIS 2149^13.8583^
71^0^2^Jenkin, Mr. Stephen Curnow^male^32.0^0^0^S^C.A. 33111^10.5^
510^1^3^Lang, Mr. Fang^male^26.0^0^0^S^1601^56.4958^
563^0^2^Norman, Mr. Robert Douglas^male^28.0^0^0^S^218629^13.5^
172^0^3^Rice, Master. Arthur^male^4.0^4^1^Q^382652^29.125^
523^0^3^Lahoud, Mr. Sarkis^male^^0^0^C^2624^7.225^
